step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,25,1,0.5544683231087401,0.0,0.0,0.3564349393709756,0.0,0.0,,
2,34,2,1.1494002963602543,0.0,0.0,,,,,
3,43,3,1.1222038185596466,0.0,0.0,,,,,
4,52,4,1.2285925963521005,0.0,0.0,,,,,
5,69,5,0.34132219649851325,0.0,0.0,,,,,
6,86,6,0.16204643689095974,0.0,0.0,,,,,
7,103,7,0.28778749335557224,0.0,0.0,,,,,
8,120,8,0.04606641402933746,1.0,1.0,,,,,
9,137,9,0.04912291474640369,1.0,1.0,0.2412888737147053,0.0,0.0,,
10,146,10,0.052738042511045934,1.0,1.0,,,,,
11,155,11,0.3409223967790604,0.0,0.0,,,,,
12,180,12,0.1368853010609746,0.0,0.0,,,,,
13,205,13,0.043392636563318474,1.0,1.0,,,,,
14,230,14,0.03099865180013391,1.0,1.0,,,,,
15,247,15,0.5984897441863541,0.0,0.0,,,,,
16,256,16,0.04008421864476986,1.0,1.0,,,,,
17,265,17,0.04762087322538719,1.0,1.0,0.9536540627479554,0.0,0.0,,
18,290,18,0.18562810308610403,0.0,0.0,,,,,
19,299,19,0.04686684479587712,1.0,1.0,,,,,
20,308,20,1.4367884517088532,0.0,0.0,,,,,
21,317,21,0.04258266959921457,1.0,1.0,,,,,
22,334,22,0.05011635242728517,1.0,1.0,,,,,
23,343,23,0.0401631679572165,1.0,1.0,,,,,
24,352,24,0.039379455229500315,1.0,1.0,,,,,
25,361,25,0.03723354583606124,1.0,1.0,0.04813562104885932,1.0,1.0,,
26,378,26,0.04534791887272149,1.0,1.0,,,,,
27,395,27,0.0447003210382536,1.0,1.0,,,,,
28,404,28,0.03435356472618878,1.0,1.0,,,,,
29,421,29,0.054833720482420176,1.0,1.0,,,,,
30,438,30,0.02999710553325713,1.0,1.0,,,,,
31,455,31,0.306041407212615,0.0,0.0,,,,,
32,464,32,0.03467821110505611,1.0,1.0,,,,,
33,481,33,0.039024760616011914,1.0,1.0,0.04015632510185242,1.0,1.0,,
34,506,34,0.02148328385936717,1.0,1.0,,,,,
35,515,35,0.2672410833835602,0.0,0.0,,,,,
36,540,36,0.5084057805935542,0.0,0.0,,,,,
37,565,37,0.02189990238073127,1.0,1.0,,,,,
38,582,38,0.02806348806945607,1.0,1.0,,,,,
39,591,39,0.31851226568222046,0.0,0.0,,,,,
40,600,40,0.05208430774509906,1.0,1.0,,,,,
41,609,41,0.032720049507915974,1.0,1.0,0.035740141861606387,1.0,1.0,,
42,626,42,0.02116395960561931,1.0,1.0,,,,,
43,651,43,0.12512918902561065,0.0,0.0,,,,,
44,676,44,0.04494858385374149,1.0,1.0,,,,,
45,701,45,0.026109953184301656,1.0,1.0,,,,,
46,710,46,0.19308426797389983,0.0,0.0,,,,,
47,719,47,0.06446881145238877,1.0,1.0,,,,,
48,728,48,0.5700838787853718,0.0,0.0,,,,,
49,737,49,0.026238752516801467,1.0,1.0,0.019701749179512264,1.0,1.0,,
50,746,50,0.18058309316635132,0.0,0.0,,,,,
51,755,51,0.49801174089312555,0.0,0.0,,,,,
52,772,52,0.01821507013402879,1.0,1.0,,,,,
53,781,53,0.030127161424607037,1.0,1.0,,,,,
54,798,54,0.024864240384194998,1.0,1.0,,,,,
55,823,55,0.1554589798673987,0.0,0.0,,,,,
56,848,56,0.1445243498682976,0.0,0.0,,,,,
57,857,57,0.05601429849863052,1.0,1.0,0.07798690516501666,0.0,0.0,,
58,874,58,0.28603377647697925,0.0,0.0,,,,,
59,899,59,0.024827410274495677,1.0,1.0,,,,,
60,916,60,0.029475560099817815,1.0,1.0,,,,,
61,925,61,0.03857533305883408,1.0,1.0,,,,,
62,942,62,0.5821456181257962,0.0,0.0,,,,,
63,951,63,0.0298996447538957,1.0,1.0,,,,,
64,968,64,0.019779353588819503,1.0,1.0,,,,,
65,977,65,0.07249562814831734,1.0,1.0,0.2704296592855826,0.0,0.0,,
66,994,66,0.5406546728499233,0.0,0.0,,,,,
67,1003,67,0.05391280174255371,1.0,1.0,,,,,
68,1036,68,0.029961909058038146,1.0,1.0,,,,,
69,1061,69,0.11460154846000176,0.0,0.0,,,,,
70,1070,70,0.04854081757366657,1.0,1.0,,,,,
71,1079,71,0.024626248832792044,1.0,1.0,,,,,
72,1088,72,0.08740891411900521,1.0,1.0,,,,,
73,1105,73,0.1626320309191942,0.0,0.0,0.027474696293938908,1.0,1.0,,
